datetime,temp,hum,light,motion,fanLevel,lightLevel
2026-04-08 12:20:18,23.58,56.78,910,1,1,2
2026-04-08 12:20:33,20.26,44.94,1242,1,1,2
2026-04-08 12:20:48,30.79,52.9,2751,1,3,1
2026-04-08 12:21:03,27.06,37.21,2662,1,2,1
2026-04-08 12:21:18,21.42,63.62,915,1,1,2
2026-04-08 12:21:33,20.82,55.64,1885,1,1,1
2026-04-08 12:21:48,21.04,51.47,1720,1,1,2
2026-04-08 12:22:03,29,34.77,1546,1,2,2
2026-04-08 12:22:18,20.59,46.34,1698,1,1,2
2026-04-08 13:00:52,21.04,50.21,1081,1,1,2
2026-04-08 13:01:07,24.13,32.95,217,1,1,3
2026-04-08 13:04:24,25.59,34.24,3645,1,2,0
2026-04-08 13:04:54,26.85,42.74,2573,1,2,1
2026-04-08 13:07:15,29.77,70.18,3954,1,3,0
2026-04-08 13:08:15,26.2,64.36,3535,1,2,0
2026-04-08 13:08:30,25.26,37.57,3835,1,2,0
2026-04-08 13:09:15,23.61,50.9,1948,1,1,1
2026-04-08 13:21:23,20.01,74.8,2701,1,1,1
2026-04-08 13:28:02,30.31,78.21,1917,1,3,1
2026-04-08 13:28:32,24.93,61.31,980,1,2,2
2026-04-08 13:28:47,21.47,68.29,41,1,1,3
2026-04-08 13:29:02,20.97,47.01,3153,1,1,0
2026-04-08 13:29:17,22.35,62.42,78,1,1,3
2026-04-08 13:34:19,28.09,70.51,1146,1,2,2
2026-04-08 13:34:34,27.69,63.52,3835,1,2,0
2026-04-08 13:46:28,30.71,48.46,584,1,3,3
2026-04-08 13:46:43,25.09,34.05,2806,1,2,1
2026-04-08 13:47:28,29.79,57.25,3594,1,2,0
2026-04-08 13:48:28,30.36,39.48,2791,1,2,1
2026-04-08 13:48:43,31.51,34.67,2751,1,3,1
2026-04-08 13:48:58,28.67,51.14,2480,1,2,1
2026-04-08 13:50:14,21.78,46.96,621,1,1,2
2026-04-08 13:50:44,31.86,62.21,749,1,3,2
2026-04-08 13:50:59,20.13,39.46,2708,1,1,1
2026-04-08 13:51:29,28.17,37.42,49,1,2,3
2026-04-08 13:52:14,25.07,51.6,2593,1,2,1
2026-04-08 13:52:59,31.48,42.2,2838,1,3,1
2026-04-08 13:53:14,28.31,68.32,737,1,3,2
2026-04-08 13:53:29,30.33,57.81,590,1,3,3
2026-04-08 13:53:44,27.53,43,1643,1,2,2
2026-04-08 13:54:14,25.23,54.13,973,1,2,2
2026-04-08 13:54:59,28.89,58.2,962,1,2,2
2026-04-08 13:55:14,22.35,30.04,3847,1,1,0
2026-04-08 13:55:29,30.48,50.97,1664,1,3,2
2026-04-08 13:55:59,22.47,61.57,1271,1,1,2
2026-04-08 13:56:59,28.93,34.61,382,1,2,3
2026-04-08 13:57:14,25.23,59.51,693,1,2,2
2026-04-08 13:57:29,23.08,61.55,3250,1,1,0
2026-04-08 13:57:44,23.35,53.26,2293,1,1,1
2026-04-08 13:57:59,22.88,55.39,1063,1,1,2
2026-04-08 13:58:59,30.53,46.66,3446,1,3,0
2026-04-08 15:13:23,26.7,59.22,1231,1,2,2
2026-04-08 15:13:38,29.86,64.19,1995,1,2,1
2026-04-08 15:13:53,21.08,36.28,3158,1,1,0
2026-04-08 15:14:23,31.22,75.9,2764,1,3,1
2026-04-08 15:14:38,30.13,32.58,413,1,2,3
2026-04-08 15:15:08,31.22,56.52,3707,1,3,0
2026-04-08 15:15:38,30.72,52.9,3498,1,3,0
2026-04-08 15:15:53,28.01,30.48,2465,1,2,1
2026-04-08 15:16:23,29.66,34.27,1109,1,2,2
2026-04-08 15:16:38,28.27,52.9,592,1,2,3
2026-04-08 15:17:23,20.54,33.33,925,1,1,2
2026-04-08 15:17:53,29.87,44.5,556,1,2,3
2026-04-08 15:18:23,31.66,78.34,548,1,3,3
2026-04-08 15:18:38,23.79,61.74,2085,1,1,1
2026-04-08 15:19:23,20.52,57.68,2158,1,1,1
2026-04-08 15:19:53,27.59,63.37,2963,1,2,1
2026-04-08 15:20:08,26.68,73.28,3779,1,2,0
2026-04-08 15:20:53,20.16,56.07,3683,1,1,0
2026-04-08 15:21:38,25.37,67.3,1516,1,2,2
2026-04-08 15:21:53,27.61,45.66,963,1,2,2
2026-04-08 15:22:08,22.33,72.15,3239,1,2,0
2026-04-08 15:22:23,30.59,55.63,1504,1,3,2
2026-04-08 15:22:38,28.01,62.78,2745,1,2,1
2026-04-08 15:23:08,21.74,50.93,2497,1,1,1
2026-04-08 15:23:23,25.25,40.32,3481,1,2,0
2026-04-08 15:23:38,22.08,47.01,912,1,1,2
2026-04-08 15:23:53,23.08,41.12,197,1,1,3
2026-04-08 15:24:23,24.22,57.76,2754,1,2,1
2026-04-08 15:24:38,20.74,36.51,2511,1,1,1
2026-04-08 15:24:53,27.65,43.74,2387,1,2,1
2026-04-08 15:25:53,30.08,46.71,2318,1,2,1
2026-04-08 15:26:08,22.44,60.74,2209,1,1,1
2026-04-08 15:26:23,27.96,65.07,843,1,2,2
2026-04-08 15:26:38,21.41,55.16,855,1,1,2
2026-04-08 15:27:53,30.77,49.75,166,1,3,3
2026-04-08 15:28:23,20.29,51.49,1159,1,1,2
2026-04-08 15:28:38,23.34,44.86,2104,1,1,1
2026-04-08 15:29:08,26.95,68.05,1232,1,2,2
2026-04-08 15:29:39,21.56,54.98,1804,1,1,1
2026-04-08 15:29:54,30.03,76.84,1467,1,3,2
2026-04-08 15:30:09,31.36,49.62,810,1,3,2
2026-04-08 15:30:39,23.06,47.16,857,1,1,2
2026-04-08 15:32:24,22.25,63.53,998,1,1,2
2026-04-08 15:33:24,24.31,70.71,2547,1,2,1
2026-04-08 15:33:54,28.19,72.92,3089,1,3,0
2026-04-08 15:34:54,26.58,76.55,3533,1,2,0
2026-04-08 15:35:24,31.56,57.1,2245,1,3,1
2026-04-08 15:36:24,23.54,30.3,2672,1,1,1
2026-04-08 15:36:39,31.05,72.01,1104,1,3,2
2026-04-08 15:37:09,28.43,49.21,2227,1,2,1
2026-04-08 15:37:39,30.48,33.75,2306,1,2,1
2026-04-08 15:38:15,27.1,45.19,92,1,2,3
2026-04-08 15:39:45,27.64,35.95,2602,1,2,1
2026-04-08 15:40:00,24.5,36.54,917,1,1,2
2026-04-08 15:40:30,26.71,71.38,3103,1,2,0
2026-04-08 15:43:44,21.59,53.16,2549,1,1,1
2026-04-08 15:43:59,23.3,34.08,4078,1,1,0
2026-04-08 15:44:14,24.06,74.62,1104,1,2,2
2026-04-08 15:44:29,28.19,57.32,345,1,2,3
2026-04-08 15:44:44,29.98,76.3,833,1,3,2
2026-04-08 15:45:14,28.59,36.59,223,1,2,3
2026-04-08 15:45:29,24.97,54,1760,1,2,2
2026-04-08 15:45:44,28.04,76.27,3321,1,3,0
2026-04-08 15:46:14,25.79,67.42,2083,1,2,1
2026-04-08 15:46:29,25.67,62.49,3330,1,2,0
2026-04-08 15:46:44,30.66,36.3,338,1,2,3
2026-04-08 15:47:14,29.45,65.52,2297,1,3,1
2026-04-08 15:47:59,21.93,43.06,756,1,1,2
2026-04-08 15:48:14,21.35,60.77,4091,1,1,0
2026-04-08 15:48:29,24.28,79.16,3995,1,2,0
2026-04-08 15:49:59,29.67,48.11,2021,1,2,1
2026-04-08 15:50:14,29.23,47.5,3135,1,2,0
2026-04-08 15:50:29,26.18,52.05,1380,1,2,2
2026-04-08 15:50:59,26.84,35.06,1490,1,2,2
2026-04-08 15:51:14,26.38,59.54,763,1,2,2
2026-04-19 00:22:53,28.14,31.16,3240,1,2,0
2026-04-19 00:24:08,21.01,44.96,550,1,1,3
2026-04-19 00:24:23,21.01,41.75,298,1,1,3
2026-04-19 00:24:38,31.76,51.3,152,1,3,3
2026-04-19 00:25:08,22.58,36.87,2909,1,1,1
2026-04-19 00:26:23,29.58,54.85,2856,1,2,1
